Type,peak_to_peak_amplitude,mean_amplitude_peaks,mean_amplitude_valleys,std_deviation_peak_amplitudes,std_deviation_valley_amplitudes,signal_energy,signal_power,zero_crossing_rate
DA,18.38952378,0.202871862,0.316590379,2.373140844,1.846958832,1628.761247,8.949237622,0.565934066
DA,5.036612311,0.065415073,-0.020074683,1.022205967,1.016312047,363.7222333,1.998473809,0.582417582
DA,11.30198655,0.27634938,-0.035355107,1.570538902,1.297938428,722.9628142,3.972323155,0.587912088
DA,11.23702585,0.240664824,-0.060379093,1.573415114,1.283529132,718.5212951,3.947919204,0.576923077
DA,11.44500582,0.282085831,0.008462218,1.575881628,1.313902543,730.4081023,4.013231331,0.587912088
DA,10.626951,0.253750163,0.038600925,1.534463636,1.207187291,672.3616833,3.694294963,0.587912088
DA,11.38616622,0.186317097,-0.089738557,1.587768646,1.236112938,701.609467,3.854997072,0.598901099
DA,11.24975108,0.304033181,-0.015864675,1.49249854,1.307461059,708.700162,3.893956934,0.598901099
AA,9.220419146,0.121131633,0.1338123,1.480573166,1.651566809,901.7476594,4.954657469,0.598901099
AA,6.040846924,0.120874892,0.035641532,1.342337197,1.185499742,569.684284,3.130133428,0.576923077
AA,6.560661168,-0.018460119,-0.07370882,1.441857208,1.328333246,675.801038,3.713192516,0.587912088
AA,6.54402727,-0.028858272,-0.053474526,1.422498348,1.311955637,671.0767061,3.687234649,0.576923077
AA,6.249953368,0.058366288,0.107635109,1.412889408,1.334437652,677.8545908,3.724475774,0.587912088
AA,6.906794477,-0.110876183,0.05045359,1.447752827,1.354543438,682.7664262,3.75146388,0.587912088
AA,6.875277196,0.035360384,-0.024405936,1.491504499,1.343487477,700.2694662,3.84763443,0.587912088
AA,6.275841982,-0.118568383,-0.160431985,1.52793144,1.379283426,726.5197569,3.991866796,0.576923077
AA,6.82149713,0.051641293,0.038101322,1.447494214,1.344112942,674.992302,3.708748912,0.587912088
AA,6.394273521,0.064434004,0.167744468,1.46550241,1.337989017,696.4462917,3.826627976,0.587912088
AA,6.541542624,0.005254071,0.070998252,1.436416068,1.310839872,677.4195442,3.722085408,0.598901099
AA,7.943357179,0.109403718,0.153937426,1.496838429,1.451212968,881.9052508,4.845633246,0.593406593
AA,7.820288192,0.10841999,0.281852157,1.511206442,1.447265558,887.1778356,4.874603492,0.593406593
AA,7.264940547,0.088482954,0.11588916,1.475298693,1.464480439,874.203477,4.803315808,0.593406593
AA,8.294762147,0.115848345,0.104221596,1.491248214,1.463545503,872.1547195,4.792058898,0.582417582
DA,11.07458756,0.038017719,0.022536441,1.566507688,1.265128501,715.6888959,3.932356571,0.576923077
DA,11.10049016,0.204033305,-0.000308372,1.585618167,1.259941127,725.8779498,3.988340384,0.576923077
DA,11.45956185,0.248499602,-0.102391878,1.567935313,1.313958715,727.9776701,3.999877308,0.587912088
DA,6.752481954,-0.010533919,0.182499489,1.176707487,1.350668701,579.802222,3.185726495,0.598901099
DA,6.969842604,-0.02356828,0.098975237,1.201666063,1.401123636,602.3930162,3.309851737,0.604395604
DA,7.018659945,-0.030301095,0.08891105,1.2348522,1.385912717,608.4649453,3.343213985,0.60989011
DA,7.036629331,-0.001442884,0.006418272,1.226158391,1.410525567,611.0861706,3.357616322,0.60989011
AA_DA,6.461806062,0.091390317,-0.094637717,1.154576305,1.169098409,491.2236045,2.699030794,0.615384615
AA_DA,5.721354364,0.03855327,0.019796804,1.090775722,1.181295445,454.6119232,2.49786771,0.593406593
AA_DA,7.462368206,0.122817228,-0.113292243,1.302233897,1.168022412,556.4319423,3.057318364,0.60989011
AA_DA,7.397455899,0.203610886,-0.172501542,1.324272253,1.176032421,559.9615187,3.076711641,0.620879121
AA_DA,5.23671705,0.053982285,0.232087408,1.104254099,1.162213813,464.1913122,2.550501716,0.604395604
AA_DA,7.314140457,0.125022244,-0.129888223,1.268648406,1.203241902,554.1083509,3.044551379,0.60989011
AA_DA,7.59584355,0.200610729,-0.202242027,1.34741464,1.170464529,572.4097298,3.145108405,0.620879121
AA_DA,5.841503024,-0.018905695,-0.040703241,1.114534265,1.179987019,459.1436368,2.522767235,0.593406593
AA_DA,5.959642645,0.032460908,0.038485547,1.104834692,1.171879255,450.4982619,2.475265175,0.615384615
AA_DA,6.294940548,0.027742943,-0.008212394,1.119676222,1.201207001,482.037988,2.648560374,0.604395604
AA_DA,6.253286162,-0.013130973,-0.065374135,1.081666432,1.172920342,466.5886434,2.563673865,0.593406593
AA_DA,5.541493482,-0.082574352,-8.20E-05,1.096767705,1.188956916,463.5219648,2.546823983,0.582417582
AA_DA,5.858626404,-0.006387377,0.025961109,1.090188209,1.199599579,458.9665756,2.521794371,0.593406593
AA_DA,5.812952543,0.161726384,0.056430951,1.36191615,1.394262347,704.3725588,3.870178894,0.571428571
AA,7.662304704,0.135524041,0.150751182,1.52681022,1.455496953,886.2853664,4.869699815,0.582417582
AA,7.906290856,0.026687128,0.284972206,1.433438873,1.41415443,826.9462005,4.543660442,0.582417582
AA,8.380616736,0.074293818,0.260751824,1.48518772,1.436286598,881.3391212,4.842522644,0.593406593
AA,7.591104586,0.061257991,0.05402147,1.521503552,1.470371124,913.4420117,5.018912152,0.593406593
AA,7.861386655,0.102665667,0.156982693,1.502092124,1.446446242,898.7077538,4.937954691,0.593406593
AA,7.993650629,0.066105811,0.033734422,1.465638779,1.132379913,565.6714093,3.108084666,0.576923077
AA,8.119610308,0.025265665,0.0353392,1.482479538,1.137581264,576.4770129,3.167456115,0.576923077
AA,7.934572559,0.018977661,0.064503695,1.439194104,1.154062166,567.6948812,3.119202644,0.565934066
AA_DA,7.963843441,0.077328825,-0.152209112,1.332220467,1.200446941,578.4902376,3.178517789,0.620879121
AA_DA,6.869342505,0.038276919,-0.010474881,1.313258052,1.21351666,560.8000923,3.081319188,0.60989011
AA_DA,7.727277793,0.126851337,-0.160884253,1.315901305,1.191521825,580.4362993,3.189210436,0.60989011
